T E X A S  E D U C A T I O N  A G E N C Y,,,,
,,,,
PEIMS Student Enrollment Data for 2013-2014,,,,
,,,,
YEAR,REGION,COUNTY NAME,GRADE,ENROLLMENT
2013-2014,7,ANDERSON COUNTY,Early Education,52
2013-2014,7,ANDERSON COUNTY,Pre-kindergarten,374
2013-2014,7,ANDERSON COUNTY,Kindergarten,631
2013-2014,7,ANDERSON COUNTY,Grade  1,636
2013-2014,7,ANDERSON COUNTY,Grade  2,609
2013-2014,7,ANDERSON COUNTY,Grade  3,618
2013-2014,7,ANDERSON COUNTY,Grade  4,618
2013-2014,7,ANDERSON COUNTY,Grade  5,596
2013-2014,7,ANDERSON COUNTY,Grade  6,615
2013-2014,7,ANDERSON COUNTY,Grade  7,601
2013-2014,7,ANDERSON COUNTY,Grade  8,607
2013-2014,7,ANDERSON COUNTY,Grade  9,638
2013-2014,7,ANDERSON COUNTY,Grade 10,588
2013-2014,7,ANDERSON COUNTY,Grade 11,553
2013-2014,7,ANDERSON COUNTY,Grade 12,456
2013-2014,18,ANDREWS COUNTY,Early Education,9
2013-2014,18,ANDREWS COUNTY,Pre-kindergarten,139
2013-2014,18,ANDREWS COUNTY,Kindergarten,285
2013-2014,18,ANDREWS COUNTY,Grade  1,322
2013-2014,18,ANDREWS COUNTY,Grade  2,294
2013-2014,18,ANDREWS COUNTY,Grade  3,293
2013-2014,18,ANDREWS COUNTY,Grade  4,309
2013-2014,18,ANDREWS COUNTY,Grade  5,309
2013-2014,18,ANDREWS COUNTY,Grade  6,265
2013-2014,18,ANDREWS COUNTY,Grade  7,306
2013-2014,18,ANDREWS COUNTY,Grade  8,245
2013-2014,18,ANDREWS COUNTY,Grade  9,259
2013-2014,18,ANDREWS COUNTY,Grade 10,267
2013-2014,18,ANDREWS COUNTY,Grade 11,246
2013-2014,18,ANDREWS COUNTY,Grade 12,216
2013-2014,7,ANGELINA COUNTY,Early Education,87
2013-2014,7,ANGELINA COUNTY,Pre-kindergarten,1094
2013-2014,7,ANGELINA COUNTY,Kindergarten,1325
2013-2014,7,ANGELINA COUNTY,Grade  1,1444
2013-2014,7,ANGELINA COUNTY,Grade  2,1324
2013-2014,7,ANGELINA COUNTY,Grade  3,1237
2013-2014,7,ANGELINA COUNTY,Grade  4,1302
2013-2014,7,ANGELINA COUNTY,Grade  5,1206
2013-2014,7,ANGELINA COUNTY,Grade  6,1260
2013-2014,7,ANGELINA COUNTY,Grade  7,1269
2013-2014,7,ANGELINA COUNTY,Grade  8,1253
2013-2014,7,ANGELINA COUNTY,Grade  9,1379
2013-2014,7,ANGELINA COUNTY,Grade 10,1221
2013-2014,7,ANGELINA COUNTY,Grade 11,1116
2013-2014,7,ANGELINA COUNTY,Grade 12,1142
2013-2014,2,ARANSAS COUNTY,Early Education,5
2013-2014,2,ARANSAS COUNTY,Pre-kindergarten,68
2013-2014,2,ARANSAS COUNTY,Kindergarten,247
2013-2014,2,ARANSAS COUNTY,Grade  1,244
2013-2014,2,ARANSAS COUNTY,Grade  2,248
2013-2014,2,ARANSAS COUNTY,Grade  3,244
2013-2014,2,ARANSAS COUNTY,Grade  4,269
2013-2014,2,ARANSAS COUNTY,Grade  5,215
2013-2014,2,ARANSAS COUNTY,Grade  6,238
2013-2014,2,ARANSAS COUNTY,Grade  7,253
2013-2014,2,ARANSAS COUNTY,Grade  8,260
2013-2014,2,ARANSAS COUNTY,Grade  9,260
2013-2014,2,ARANSAS COUNTY,Grade 10,243
2013-2014,2,ARANSAS COUNTY,Grade 11,225
2013-2014,2,ARANSAS COUNTY,Grade 12,198
2013-2014,9,ARCHER COUNTY,Early Education,6
2013-2014,9,ARCHER COUNTY,Pre-kindergarten,37
2013-2014,9,ARCHER COUNTY,Kindergarten,123
2013-2014,9,ARCHER COUNTY,Grade  1,123
2013-2014,9,ARCHER COUNTY,Grade  2,115
2013-2014,9,ARCHER COUNTY,Grade  3,129
2013-2014,9,ARCHER COUNTY,Grade  4,139
2013-2014,9,ARCHER COUNTY,Grade  5,130
2013-2014,9,ARCHER COUNTY,Grade  6,138
2013-2014,9,ARCHER COUNTY,Grade  7,145
2013-2014,9,ARCHER COUNTY,Grade  8,157
2013-2014,9,ARCHER COUNTY,Grade  9,170
2013-2014,9,ARCHER COUNTY,Grade 10,150
2013-2014,9,ARCHER COUNTY,Grade 11,137
2013-2014,9,ARCHER COUNTY,Grade 12,142
2013-2014,16,ARMSTRONG COUNTY,Pre-kindergarten,16
2013-2014,16,ARMSTRONG COUNTY,Kindergarten,30
2013-2014,16,ARMSTRONG COUNTY,Grade  1,22
2013-2014,16,ARMSTRONG COUNTY,Grade  2,24
2013-2014,16,ARMSTRONG COUNTY,Grade  3,28
2013-2014,16,ARMSTRONG COUNTY,Grade  4,20
2013-2014,16,ARMSTRONG COUNTY,Grade  5,30
2013-2014,16,ARMSTRONG COUNTY,Grade  6,23
2013-2014,16,ARMSTRONG COUNTY,Grade  7,31
2013-2014,16,ARMSTRONG COUNTY,Grade  8,27
2013-2014,16,ARMSTRONG COUNTY,Grade  9,30
2013-2014,16,ARMSTRONG COUNTY,Grade 10,33
2013-2014,16,ARMSTRONG COUNTY,Grade 11,27
2013-2014,16,ARMSTRONG COUNTY,Grade 12,28
2013-2014,20,ATASCOSA COUNTY,Early Education,22
2013-2014,20,ATASCOSA COUNTY,Pre-kindergarten,424
2013-2014,20,ATASCOSA COUNTY,Kindergarten,647
2013-2014,20,ATASCOSA COUNTY,Grade  1,693
2013-2014,20,ATASCOSA COUNTY,Grade  2,674
2013-2014,20,ATASCOSA COUNTY,Grade  3,659
2013-2014,20,ATASCOSA COUNTY,Grade  4,683
2013-2014,20,ATASCOSA COUNTY,Grade  5,638
2013-2014,20,ATASCOSA COUNTY,Grade  6,689
2013-2014,20,ATASCOSA COUNTY,Grade  7,713
2013-2014,20,ATASCOSA COUNTY,Grade  8,696
2013-2014,20,ATASCOSA COUNTY,Grade  9,699
2013-2014,20,ATASCOSA COUNTY,Grade 10,681
2013-2014,20,ATASCOSA COUNTY,Grade 11,667
2013-2014,20,ATASCOSA COUNTY,Grade 12,553
2013-2014,6,AUSTIN COUNTY,Early Education,18
2013-2014,6,AUSTIN COUNTY,Pre-kindergarten,194
2013-2014,6,AUSTIN COUNTY,Kindergarten,439
2013-2014,6,AUSTIN COUNTY,Grade  1,450
2013-2014,6,AUSTIN COUNTY,Grade  2,395
2013-2014,6,AUSTIN COUNTY,Grade  3,404
2013-2014,6,AUSTIN COUNTY,Grade  4,403
2013-2014,6,AUSTIN COUNTY,Grade  5,452
2013-2014,6,AUSTIN COUNTY,Grade  6,412
2013-2014,6,AUSTIN COUNTY,Grade  7,453
2013-2014,6,AUSTIN COUNTY,Grade  8,459
2013-2014,6,AUSTIN COUNTY,Grade  9,442
2013-2014,6,AUSTIN COUNTY,Grade 10,433
2013-2014,6,AUSTIN COUNTY,Grade 11,375
2013-2014,6,AUSTIN COUNTY,Grade 12,386
2013-2014,17,BAILEY COUNTY,Early Education,21
2013-2014,17,BAILEY COUNTY,Pre-kindergarten,94
2013-2014,17,BAILEY COUNTY,Kindergarten,113
2013-2014,17,BAILEY COUNTY,Grade  1,121
2013-2014,17,BAILEY COUNTY,Grade  2,116
2013-2014,17,BAILEY COUNTY,Grade  3,116
2013-2014,17,BAILEY COUNTY,Grade  4,108
2013-2014,17,BAILEY COUNTY,Grade  5,101
2013-2014,17,BAILEY COUNTY,Grade  6,103
2013-2014,17,BAILEY COUNTY,Grade  7,117
2013-2014,17,BAILEY COUNTY,Grade  8,108
2013-2014,17,BAILEY COUNTY,Grade  9,87
2013-2014,17,BAILEY COUNTY,Grade 10,97
2013-2014,17,BAILEY COUNTY,Grade 11,97
2013-2014,17,BAILEY COUNTY,Grade 12,70
2013-2014,20,BANDERA COUNTY,Early Education,7
2013-2014,20,BANDERA COUNTY,Pre-kindergarten,130
2013-2014,20,BANDERA COUNTY,Kindergarten,195
2013-2014,20,BANDERA COUNTY,Grade  1,187
2013-2014,20,BANDERA COUNTY,Grade  2,165
2013-2014,20,BANDERA COUNTY,Grade  3,203
2013-2014,20,BANDERA COUNTY,Grade  4,173
2013-2014,20,BANDERA COUNTY,Grade  5,187
2013-2014,20,BANDERA COUNTY,Grade  6,179
2013-2014,20,BANDERA COUNTY,Grade  7,207
2013-2014,20,BANDERA COUNTY,Grade  8,198
2013-2014,20,BANDERA COUNTY,Grade  9,209
2013-2014,20,BANDERA COUNTY,Grade 10,228
2013-2014,20,BANDERA COUNTY,Grade 11,185
2013-2014,20,BANDERA COUNTY,Grade 12,191
2013-2014,13,BASTROP COUNTY,Early Education,48
2013-2014,13,BASTROP COUNTY,Pre-kindergarten,668
2013-2014,13,BASTROP COUNTY,Kindergarten,1100
2013-2014,13,BASTROP COUNTY,Grade  1,1170
2013-2014,13,BASTROP COUNTY,Grade  2,1195
2013-2014,13,BASTROP COUNTY,Grade  3,1173
2013-2014,13,BASTROP COUNTY,Grade  4,1169
2013-2014,13,BASTROP COUNTY,Grade  5,1142
2013-2014,13,BASTROP COUNTY,Grade  6,1172
2013-2014,13,BASTROP COUNTY,Grade  7,1203
2013-2014,13,BASTROP COUNTY,Grade  8,1210
2013-2014,13,BASTROP COUNTY,Grade  9,1373
2013-2014,13,BASTROP COUNTY,Grade 10,1188
2013-2014,13,BASTROP COUNTY,Grade 11,1021
2013-2014,13,BASTROP COUNTY,Grade 12,947
2013-2014,9,BAYLOR COUNTY,Early Education,-9999999
2013-2014,9,BAYLOR COUNTY,Pre-kindergarten,31
2013-2014,9,BAYLOR COUNTY,Kindergarten,35
2013-2014,9,BAYLOR COUNTY,Grade  1,40
2013-2014,9,BAYLOR COUNTY,Grade  2,43
2013-2014,9,BAYLOR COUNTY,Grade  3,52
2013-2014,9,BAYLOR COUNTY,Grade  4,43
2013-2014,9,BAYLOR COUNTY,Grade  5,45
2013-2014,9,BAYLOR COUNTY,Grade  6,37
2013-2014,9,BAYLOR COUNTY,Grade  7,46
2013-2014,9,BAYLOR COUNTY,Grade  8,40
2013-2014,9,BAYLOR COUNTY,Grade  9,49
2013-2014,9,BAYLOR COUNTY,Grade 10,39
2013-2014,9,BAYLOR COUNTY,Grade 11,39
2013-2014,9,BAYLOR COUNTY,Grade 12,28
2013-2014,2,BEE COUNTY,Early Education,17
2013-2014,2,BEE COUNTY,Pre-kindergarten,168
2013-2014,2,BEE COUNTY,Kindergarten,441
2013-2014,2,BEE COUNTY,Grade  1,461
2013-2014,2,BEE COUNTY,Grade  2,396
2013-2014,2,BEE COUNTY,Grade  3,402
