T E X A S  E D U C A T I O N  A G E N C Y,,,,
,,,,
PEIMS Student Enrollment Data for 2014-2015,,,,
,,,,
YEAR ,REGION,COUNTY,GRADE,ENROLLMENT
2014-2015,7,ANDERSON COUNTY,Early Education,13
2014-2015,7,ANDERSON COUNTY,Pre-kindergarten,360
2014-2015,7,ANDERSON COUNTY,Kindergarten,688
2014-2015,7,ANDERSON COUNTY,Grade  1,631
2014-2015,7,ANDERSON COUNTY,Grade  2,633
2014-2015,7,ANDERSON COUNTY,Grade  3,594
2014-2015,7,ANDERSON COUNTY,Grade  4,605
2014-2015,7,ANDERSON COUNTY,Grade  5,610
2014-2015,7,ANDERSON COUNTY,Grade  6,588
2014-2015,7,ANDERSON COUNTY,Grade  7,614
2014-2015,7,ANDERSON COUNTY,Grade  8,625
2014-2015,7,ANDERSON COUNTY,Grade  9,645
2014-2015,7,ANDERSON COUNTY,Grade 10,640
2014-2015,7,ANDERSON COUNTY,Grade 11,564
2014-2015,7,ANDERSON COUNTY,Grade 12,495
2014-2015,18,ANDREWS COUNTY,Early Education,12
2014-2015,18,ANDREWS COUNTY,Pre-kindergarten,113
2014-2015,18,ANDREWS COUNTY,Kindergarten,334
2014-2015,18,ANDREWS COUNTY,Grade  1,317
2014-2015,18,ANDREWS COUNTY,Grade  2,340
2014-2015,18,ANDREWS COUNTY,Grade  3,305
2014-2015,18,ANDREWS COUNTY,Grade  4,320
2014-2015,18,ANDREWS COUNTY,Grade  5,316
2014-2015,18,ANDREWS COUNTY,Grade  6,340
2014-2015,18,ANDREWS COUNTY,Grade  7,274
2014-2015,18,ANDREWS COUNTY,Grade  8,310
2014-2015,18,ANDREWS COUNTY,Grade  9,268
2014-2015,18,ANDREWS COUNTY,Grade 10,267
2014-2015,18,ANDREWS COUNTY,Grade 11,267
2014-2015,18,ANDREWS COUNTY,Grade 12,232
2014-2015,7,ANGELINA COUNTY,Early Education,38
2014-2015,7,ANGELINA COUNTY,Pre-kindergarten,1082
2014-2015,7,ANGELINA COUNTY,Kindergarten,1276
2014-2015,7,ANGELINA COUNTY,Grade  1,1406
2014-2015,7,ANGELINA COUNTY,Grade  2,1407
2014-2015,7,ANGELINA COUNTY,Grade  3,1318
2014-2015,7,ANGELINA COUNTY,Grade  4,1225
2014-2015,7,ANGELINA COUNTY,Grade  5,1315
2014-2015,7,ANGELINA COUNTY,Grade  6,1212
2014-2015,7,ANGELINA COUNTY,Grade  7,1276
2014-2015,7,ANGELINA COUNTY,Grade  8,1246
2014-2015,7,ANGELINA COUNTY,Grade  9,1359
2014-2015,7,ANGELINA COUNTY,Grade 10,1260
2014-2015,7,ANGELINA COUNTY,Grade 11,1168
2014-2015,7,ANGELINA COUNTY,Grade 12,1075
2014-2015,2,ARANSAS COUNTY,Early Education,6
2014-2015,2,ARANSAS COUNTY,Pre-kindergarten,70
2014-2015,2,ARANSAS COUNTY,Kindergarten,237
2014-2015,2,ARANSAS COUNTY,Grade  1,258
2014-2015,2,ARANSAS COUNTY,Grade  2,242
2014-2015,2,ARANSAS COUNTY,Grade  3,257
2014-2015,2,ARANSAS COUNTY,Grade  4,248
2014-2015,2,ARANSAS COUNTY,Grade  5,261
2014-2015,2,ARANSAS COUNTY,Grade  6,225
2014-2015,2,ARANSAS COUNTY,Grade  7,251
2014-2015,2,ARANSAS COUNTY,Grade  8,255
2014-2015,2,ARANSAS COUNTY,Grade  9,257
2014-2015,2,ARANSAS COUNTY,Grade 10,249
2014-2015,2,ARANSAS COUNTY,Grade 11,220
2014-2015,2,ARANSAS COUNTY,Grade 12,218
2014-2015,9,ARCHER COUNTY,Early Education,5
2014-2015,9,ARCHER COUNTY,Pre-kindergarten,55
2014-2015,9,ARCHER COUNTY,Kindergarten,108
2014-2015,9,ARCHER COUNTY,Grade  1,126
2014-2015,9,ARCHER COUNTY,Grade  2,128
2014-2015,9,ARCHER COUNTY,Grade  3,130
2014-2015,9,ARCHER COUNTY,Grade  4,134
2014-2015,9,ARCHER COUNTY,Grade  5,146
2014-2015,9,ARCHER COUNTY,Grade  6,137
2014-2015,9,ARCHER COUNTY,Grade  7,145
2014-2015,9,ARCHER COUNTY,Grade  8,138
2014-2015,9,ARCHER COUNTY,Grade  9,158
2014-2015,9,ARCHER COUNTY,Grade 10,162
2014-2015,9,ARCHER COUNTY,Grade 11,137
2014-2015,9,ARCHER COUNTY,Grade 12,136
2014-2015,16,ARMSTRONG COUNTY,Pre-kindergarten,18
2014-2015,16,ARMSTRONG COUNTY,Kindergarten,27
2014-2015,16,ARMSTRONG COUNTY,Grade  1,23
2014-2015,16,ARMSTRONG COUNTY,Grade  2,23
2014-2015,16,ARMSTRONG COUNTY,Grade  3,24
2014-2015,16,ARMSTRONG COUNTY,Grade  4,26
2014-2015,16,ARMSTRONG COUNTY,Grade  5,18
2014-2015,16,ARMSTRONG COUNTY,Grade  6,32
2014-2015,16,ARMSTRONG COUNTY,Grade  7,23
2014-2015,16,ARMSTRONG COUNTY,Grade  8,33
2014-2015,16,ARMSTRONG COUNTY,Grade  9,25
2014-2015,16,ARMSTRONG COUNTY,Grade 10,31
2014-2015,16,ARMSTRONG COUNTY,Grade 11,30
